Periodo;Data;Altura_m
246;2001-06-03;6.00
247;2001-06-04;6.03
248;2001-06-05;6.05
249;2001-06-06;6.05
250;2001-06-07;6.01
251;2001-06-08;6.04
252;2001-06-09;6.18
253;2001-06-10;6.21
254;2001-06-11;6.17
255;2001-06-12;6.13
256;2001-06-13;6.10
257;2001-06-14;6.13
258;2001-06-15;6.16
259;2001-06-16;6.25
260;2001-06-17;6.41
261;2001-06-18;6.39
262;2001-06-19;6.38
263;2001-06-20;6.34
264;2001-06-21;6.34
265;2001-06-22;6.42
266;2001-06-23;6.49
267;2001-06-24;6.58
268;2001-06-25;6.66
269;2001-06-26;6.77
270;2001-06-27;6.78
271;2001-06-28;6.84
272;2001-06-29;6.84
273;2001-06-30;6.82
274;2001-07-01;6.81
275;2001-07-02;6.79
276;2001-07-03;6.77
277;2001-07-04;6.75
278;2001-07-05;6.79
279;2001-07-06;6.79
280;2001-07-07;6.85
281;2001-07-08;6.96
282;2001-07-09;7.00
283;2001-07-10;7.00
284;2001-07-11;6.99
285;2001-07-12;6.99
286;2001-07-13;6.97
287;2001-07-14;6.96
288;2001-07-15;7.01
289;2001-07-16;7.02
290;2001-07-17;7.05
291;2001-07-18;7.11
292;2001-07-19;7.13
293;2001-07-20;7.12
294;2001-07-21;7.17
295;2001-07-22;7.22
296;2001-07-23;7.21
297;2001-07-24;7.20
298;2001-07-25;7.19
299;2001-07-26;7.17
300;2001-07-27;7.15
301;2001-07-28;7.13
302;2001-07-29;7.11
303;2001-07-30;7.10
304;2001-07-31;7.08
305;2001-08-01;7.13
306;2001-08-02;7.24
307;2001-08-03;7.33
308;2001-08-04;7.39
309;2001-08-05;7.42
310;2001-08-06;7.44
311;2001-08-07;7.43
312;2001-08-08;7.42
313;2001-08-09;7.42
314;2001-08-10;7.41
315;2001-08-11;7.47
316;2001-08-12;7.52
317;2001-08-13;7.50
318;2001-08-14;7.49
319;2001-08-15;7.50
320;2001-08-16;7.49
321;2001-08-17;7.49
322;2001-08-18;7.48
323;2001-08-19;7.48
324;2001-08-20;7.47
325;2001-08-21;7.48
326;2001-08-22;7.49
327;2001-08-23;7.51
328;2001-08-24;7.51
329;2001-08-25;7.51
330;2001-08-26;7.51
331;2001-08-27;7.50
332;2001-08-28;7.49
333;2001-08-29;7.49
334;2001-08-30;7.49
335;2001-08-31;7.49
336;2001-09-01;7.49
337;2001-09-02;7.48
338;2001-09-03;7.47
339;2001-09-04;7.47
340;2001-09-05;7.47
341;2001-09-06;7.47
342;2001-09-07;7.45
343;2001-09-08;7.47
344;2001-09-09;7.51
345;2001-09-10;7.55
346;2001-09-11;7.60
347;2001-09-12;7.63
348;2001-09-13;7.74
349;2001-09-14;7.87
350;2001-09-15;7.93
351;2001-09-16;7.93
352;2001-09-17;7.93
353;2001-09-18;7.93
354;2001-09-19;7.96
355;2001-09-20;7.95
356;2001-09-21;7.94
357;2001-09-22;7.92
358;2001-09-23;7.91
359;2001-09-24;7.92
360;2001-09-25;7.92
361;2001-09-26;7.92
362;2001-09-27;7.97
363;2001-09-28;8.06
364;2001-09-29;8.39
365;2001-09-30;8.47
366;2001-10-01;8.46
367;2001-10-02;8.45
368;2001-10-03;8.43
369;2001-10-04;8.41
370;2001-10-05;8.42
371;2001-10-06;8.42
372;2001-10-07;8.40
373;2001-10-08;8.38
374;2001-10-09;8.38
375;2001-10-10;8.38
376;2001-10-11;8.36
377;2001-10-12;8.34
378;2001-10-13;8.32
379;2001-10-14;8.33
380;2001-10-15;8.35
381;2001-10-16;8.34
382;2001-10-17;8.33
